Name,Number,Position,Age,Height,Weight,Salary
DeAndre Jordan,6.0,C,27.0,6-11,265.0,19689000.0
Luc Richard Mbah a Moute,12.0,PF,29.0,6-8,230.0,947276.0
Chris Paul,3.0,PG,31.0,6-0,175.0,21468695.0
Paul Pierce,34.0,SF,38.0,6-7,235.0,3376000.0
Pablo Prigioni,9.0,PG,39.0,6-3,185.0,947726.0
JJ Redick,4.0,SG,31.0,6-4,190.0,7085000.0
Austin Rivers,25.0,PG,23.0,6-4,200.0,3110796.0
C.J. Wilcox,30.0,SG,25.0,6-5,195.0,1159680.0
Brandon Bass,2.0,PF,31.0,6-8,250.0,3000000.0
Tarik Black,28.0,C,24.0,6-9,250.0,845059.0
Anthony Brown,3.0,SF,23.0,6-7,210.0,700000.0
Kobe Bryant,24.0,SF,37.0,6-6,212.0,25000000.0
Jordan Clarkson,6.0,PG,24.0,6-5,194.0,845059.0
Roy Hibbert,17.0,C,29.0,7-2,270.0,15592217.0
Marcelo Huertas,9.0,PG,33.0,6-3,200.0,525093.0
Ryan Kelly,4.0,PF,25.0,6-11,230.0,1724250.0
Larry Nance Jr.,7.0,PF,23.0,6-9,230.0,1155600.0
Julius Randle,30.0,PF,21.0,6-9,250.0,3132240.0
D'Angelo Russell,1.0,PG,20.0,6-5,195.0,5103120.0
Robert Sacre,50.0,C,27.0,7-0,270.0,981348.0
Louis Williams,23.0,SG,29.0,6-1,175.0,7000000.0
Metta World Peace,37.0,SF,36.0,6-7,260.0,947276.0
Nick Young,0.0,SF,31.0,6-7,210.0,5219169.0
Eric Bledsoe,2.0,PG,26.0,6-1,190.0,13500000.0
Devin Booker,1.0,SG,19.0,6-6,206.0,2127840.0
Chase Budinger,10.0,SF,28.0,6-7,209.0,206192.0
Tyson Chandler,4.0,C,33.0,7-1,240.0,13000000.0
Archie Goodwin,20.0,SG,21.0,6-5,200.0,1160160.0
John Jenkins,23.0,SG,25.0,6-4,215.0,981348.0
Brandon Knight,3.0,PG,24.0,6-3,189.0,13500000.0
Alex Len,21.0,C,22.0,7-1,260.0,3807120.0
Jon Leuer,30.0,PF,27.0,6-10,228.0,1035000.0
Phil Pressey,25.0,PG,25.0,5-11,175.0,55722.0
Ronnie Price,14.0,PG,32.0,6-2,190.0,947276.0
Mirza Teletovic,35.0,PF,30.0,6-9,242.0,5500000.0
P.J. Tucker,17.0,SF,31.0,6-6,245.0,5500000.0
